Date,New Testament (Morning Devotion), Old Testament (Evening Devotion)
06-06-24,John 16,"2 Chronicles 25,26,27"
06-07-24,John 17,"2 Chronicles 28,29"
06-08-24,John 18:1-18,"2 Chronicles 30,31"
06-09-24,John 18:19-40,"2 Chronicles 32,33"
06-10-24,John 19:1-22,"2 Chronicles 34,35,26"
06-11-24,John 19:23-42,"Ezra 1,2"
06-12-24,John 20,"Ezra 3,4,5"
06-13-24,John 21,"Ezra 6,7,8"
06-14-24,Acts 1,"Ezra 9,10"
06-15-24,"Acts 2,1-21","Nehemiah 1,2,3"
06-16-24,"Acts 2,22-47","Nehemiah 4,5,6"
06-17-24,Acts 3,"Nehemiah 7,8,9"
06-18-24,"Acts 4,1-22","Nehemiah 10,11"
06-19-24,"Acts 4,23-37","Nehemiah 12,13"
06-20-24,"Acts 5,1-21","Esther 1,2"
06-21-24,"Acts 5,22-42","Esther 3,4,5"
06-22-24,Acts 6,"Esther 6,7,8"
06-23-24,"Acts 7,1-21","Esther 9,10"
06-24-24,"Acts 7,22-43","Job 1,2"
06-25-24,"Acts 7,44-60","Job 3,4"
06-26-24,"Acts 8,1-25","Job 5,6,7"
06-27-24,"Acts 8,26-40","Job 8,9,10"
06-28-24,"Acts 9,1-21","Job 11,12,13"
06-29-24,"Acts 9,22-43","Job 14,15,16"
06-30-24,"Acts 10,1-23","Job 17,18,19"
07-01-24,"Acts 10,24-48","Job 20,21"
07-02-24,Acts 11,"Job 22,23,24"
07-03-24,Acts 12,"Job 25,26,27"
07-04-24,"Acts 13,1-25","Job 28,29"
07-05-24,"Acts 13,26-52","Job 30,31"
07-06-24,Acts 14,"Job 32,33"
07-07-24,"Acts 15,1-21","Job 34,35"
07-08-24,"Acts 15,22-41","Job 36,37"
07-09-24,"Acts 16,1-21","Job 38,39,40"
07-10-24,"Acts 16,22-40","Job 41,42"
07-11-24,"Acts 17,1-15","Psalms 1,2,3"
07-12-24,"Acts 17,16-34","Psalms 4,5,6"
07-13-24,Acts 18,"Psalms 7,8,9"
07-14-24,"Acts 19,1-20","Psalms 10,11,12"
07-15-24,"Acts 19,21-41","Psalms 13,14,15"
07-16-24,"Acts 20,1-16","Psalms 16,17"
07-17-24,"Acts 20,17-38","Psalms 18,19"
07-18-24,"Acts 21,1-17","Psalms 20,21,22"
07-19-24,"Acts 21,18-40","Psalms 23,24,25"
07-20-24,Acts 22,"Psalms 26,27,28"
07-21-24,"Acts 23,1-15","Psalms 29,30"
07-22-24,"Acts 23,16-35","Psalms 31,32"
07-23-24,Acts 24,"Psalms 33,34"
07-24-24,Acts 25,"Psalms 35,36"
07-25-24,Acts 26,"Psalms 37,38,39"
07-26-24,"Acts 27,1-26","Psalms 40,41,42"
07-27-24,"Acts 27,27-44","Psalms 43,44,45"
07-28-24,Acts 28,"Psalms 46,47,48"
07-29-24,Romans 1,"Psalms 49,50"
07-30-24,Romans 2,"Psalms 51,52,53"
07-31-24,Romans 3,"Psalms 54,55,56"
08-01-24,Romans 4,"Psalms 57,58,59"
08-02-24,Romans 5,"Psalms 60,61,62"
08-03-24,Romans 6,"Psalms 63,64,65"
08-04-24,Romans 7,"Psalms 66,67"
08-05-24,Romans 8:1-21,"Psalms 68,69"
08-06-24,Romans 8:22-39,"Psalms 70,71"
08-07-24,Romans 9:1-15,"Psalms 72,73"
08-08-24,Romans 9:16-33,"Psalms 74,75,76"
08-09-24,Romans 10,"Psalms 77,78"
08-10-24,Romans 11:1-18,"Psalms 79,80"
08-11-24,Romans 11:19-36,"Psalms 81,82,83"
08-12-24,Romans 12,"Psalms 84,85,86"
08-13-24,Romans 13,"Psalms 87,88"
08-14-24,Romans 14,"Psalm 89,90"
08-15-24,Romans 15:1-13,"Psalm 91,92,93"
08-16-24,Romans 15:14-33,"Psalm 94,95,96"
08-17-24,Romans 16,"Psalm 97,98,99"
08-18-24,1Kor 1,"Psalm 100,101,102"
08-19-24,1Kor 2,"Psalm 103,104"
08-20-24,1Kor 3,"Psalm 105,106"
08-21-24,1Kor 4,"Psalm 107,108,109"
08-22-24,1Kor 5,"Psalm 110,111,112"
08-23-24,1Kor 6,"Psalm 113,114,115"
08-24-24,1Kor 7:1-19,"Psalm 116,117,118"
08-25-24,1Kor 7:20-40,Psalm 119:1-88
08-26-24,1Kor 8,Psalm 119:89-176
08-27-24,1Kor 9,"Psalm 120,121,122"
08-28-24,1Kor 10:1-18,"Psalm 123,124,125"
08-29-24,1Kor 10:19-33,"Psalm 126,127,128"
08-30-24,1Kor 11:1-16,"Psalm 129,130,131"
08-31-24,1Kor 11:17-34,"Psalm 132,133,134"
09-01-24,1Kor12,"Psalm 135,136"
09-02-24,1Kor13,"Psalm 137,138,139"
09-03-24,1Kor14:1-20,"Psalm 140,141,142"
09-04-24,1Kor14:21-29,"Psalm 143,144,145"
09-05-24,1Kor15:1-28,"Psalm 146,147"
09-06-24,1Kor15:29-58,"Psalm 148,149,150"
09-07-24,1Kor 16,"Spr 1,2"
09-08-24,2Kor 1,"Spr 3,4,5"
09-09-24,2Kor 2,"Spr 6,7"
09-10-24,2Kor 3,"Spr 8,9"
09-11-24,2Kor 4,"Spr 10,11,12"
09-12-24,2Kor 5,"Spr 13,14,15"
09-13-24,2Kor 6,"Spr 16,17,18"
09-14-24,2Kor 7,"Spr 19,20,21"
09-15-24,2Kor 8,"Spr 22,23,24"
09-16-24,2Kor 9,"Spr 25,26"
09-17-24,2Kor 10,"Spr 27,28,29"
09-18-24,2Kor 11:1-15,"Spr 30,31"
09-19-24,2Kor 11:16-33,"Pred 1,2,3"
09-20-24,2Kor 12,"Pred 4,5,6"
09-21-24,2Kor 13,"Pred 7,8,9"
09-22-24,Gal 1,"Pred 10,11,12"
09-23-24,Gal 2,"Hl 1,2,3"
09-24-24,Gal 3,"Hl 4,5"
09-25-24,Gal 4,"Hl 6,7,8"
09-26-24,Gal 5,"Jes 1,2"
09-27-24,Gal 6,"Jes 3,4"
09-28-24,Gal 1,"Jes 5,6"
09-29-24,Gal 2,"Jes 7,8"
09-30-24,Gal 3,"Jes 9,10"
10-01-24,Gal 4,"Jes 11,12,13"